Folder,TITLE,COMPOUND_A,COMPOUND_B,MAX_CONC_A,MAX_CONC_B,IC50_A,H_A,Einf_A,IC50_B,H_B,Einf_B,ANT_SUM_WEIGHTED_SAN,ANT_SUM_WEIGHTED_LOEWE,ANT_SUM_WEIGHTED_BLISS,ANT_SUM_WEIGHTED_HSA,QA
alvespimycinhydrochloride_artesunate_PLASMODIUM_FALCIPARUM_DD2,TestData,alvespimycinhydrochloride,artesunate,0.05,0.75,0.0141619710963036,6.68933164618026,2.14567584080081,0.157204472575294,5.08005000940966,3.11548979775896,0,-43.442136214604,-20.5619691639537,-20.4431855188806,1
alvespimycinhydrochloride_artesunate_PLASMODIUM_FALCIPARUM_HB3,TestData,alvespimycinhydrochloride,artesunate,0.05,0.75,0.00813347947250265,3.35072762583681,8.28936382269894,0.268579421001418,3.9152592151467,0,0,-40.8031241179147,-26.5090219295419,-24.9210792205479,-1
alvespimycinhydrochloride_halofantrine_PLASMODIUM_FALCIPARUM_DD2,TestData,alvespimycinhydrochloride,halofantrine,0.025,0.375,0.000848330855501279,2.73661858266519,0,0.0651501114554833,3.93537727600283,3.78103978873834,0,-9.33496698248871,-1.55510910106798,-1.20688800304543,1
alvespimycinhydrochloride_halofantrine_PLASMODIUM_FALCIPARUM_HB3,TestData,alvespimycinhydrochloride,halofantrine,0.025,0.375,0.00151857104409178,9.99999999999999,0.152403285018765,0.0367367435237432,4.28874505105094,0.726557554468132,0,-21.5491701247329,-6.09993095085261,-6.06347535927804,-3
alvespimycinhydrochloride_lumefantrine_PLASMODIUM_FALCIPARUM_3D7,TestData,alvespimycinhydrochloride,lumefantrine,0.05,0.75,0.011687938521109,9.99999999999989,51.4525323812539,0.711176173354961,9.99999999999455,0,0,-152.929901852745,-155.709933220297,-155.059038127897,-1
alvespimycinhydrochloride_lumefantrine_PLASMODIUM_FALCIPARUM_DD2,TestData,alvespimycinhydrochloride,lumefantrine,0.05,0.75,0.0150561047797965,3.58343119622405,1.70840554080848,0.134572669446061,4.06916170419331,1.49225180752789,0,-17.8466272063093,-4.51972338458617,-4.46318012767775,1
alvespimycinhydrochloride_lumefantrine_PLASMODIUM_FALCIPARUM_HB3,TestData,alvespimycinhydrochloride,lumefantrine,0.05,0.75,0.0128079787380374,9.99999999999997,9.16722517593464,0.334680851234785,2.9644896993756,0,0,-34.0887996621311,-27.0873778587525,-27.07190810209,-1
alvespimycinhydrochloride_mefloquine_PLASMODIUM_FALCIPARUM_3D7,TestData,alvespimycinhydrochloride,mefloquine,0.25,0.75,0.122070491444764,9.99999999998921,36.5733541697838,0.0816377702149654,9.99999999999999,17.3460304168354,0,-111.879913690684,-111.009612333972,-110.310452021499,-1
alvespimycinhydrochloride_mefloquine_PLASMODIUM_FALCIPARUM_DD2,TestData,alvespimycinhydrochloride,mefloquine,0.25,0.75,0.0426506101450684,2.49711202115214,0,0.154993834552883,2.75424031980004,0,0,-25.2093115924706,-13.7899103474904,-13.4767135720345,1
alvespimycinhydrochloride_mefloquine_PLASMODIUM_FALCIPARUM_HB3,TestData,alvespimycinhydrochloride,mefloquine,0.25,0.75,0.0306629906760345,4.12602399119162,8.98564303302924,0.204435461267623,3.0981415238095,0,0,-38.7845289679428,-31.8424905865312,-31.8111186759648,-1
alvespimycinhydrochloride_nvpbgt226_PLASMODIUM_FALCIPARUM_3D7,TestData,alvespimycinhydrochloride,nvpbgt226,0.01,0.75,0.00572381750818148,9.99999999999488,55.6998122825057,0.587102571165954,9.99999999999999,0,0,-193.727822903515,-197.27079707043,-197.050364300491,-1
alvespimycinhydrochloride_nvpbgt226_PLASMODIUM_FALCIPARUM_DD2,TestData,alvespimycinhydrochloride,nvpbgt226,0.01,0.75,0.00204230328301872,5.57492927154057,15.6881715171183,0.162985719587011,3.32444132148571,0.478509393799409,0,-15.1066980978272,-6.32777975268238,-5.97610930678784,1
alvespimycinhydrochloride_nvpbgt226_PLASMODIUM_FALCIPARUM_HB3,TestData,alvespimycinhydrochloride,nvpbgt226,0.01,0.75,0.00152854743628122,5.63689386090405,5.65695304066313,0.339128359986277,10,0,0,-90.5469064138747,-73.3984060872711,-72.9743449057176,-1
alvespimycinhydrochloride_reserpine_PLASMODIUM_FALCIPARUM_3D7,TestData,alvespimycinhydrochloride,reserpine,7.5,0.75,3.05178551119525,9.9999999999995,85.549162663779,0.439706618909885,9.99999999999999,0,0,-4610.84308341856,-4631.9180757217,-4631.91806886285,-1
alvespimycinhydrochloride_reserpine_PLASMODIUM_FALCIPARUM_DD2,TestData,alvespimycinhydrochloride,reserpine,7.5,0.75,2.3210544098754,5.24768953216167,0,0.18686587171551,3.31328179356812,0,0,-18.8856997340126,-11.6234974683076,-11.6141458678199,1
alvespimycinhydrochloride_reserpine_PLASMODIUM_FALCIPARUM_HB3,TestData,alvespimycinhydrochloride,reserpine,7.5,0.75,0.973853269825244,9.99999999999997,8.90306966684811,0.227234927872528,3.40660024227903,0,0,-86.2342035478578,-62.1079712738951,-60.4068818346267,-1
alvespimycinhydrochloride_tafenoquine_PLASMODIUM_FALCIPARUM_3D7,TestData,alvespimycinhydrochloride,tafenoquine,0.75,0.75,0.683347132702208,9.99999999999999,0,0.129579001773502,3.04936127807617,0.194421498147979,0,-68.5217041592024,-67.2212165317802,-67.2211996634341,-1
alvespimycinhydrochloride_tafenoquine_PLASMODIUM_FALCIPARUM_DD2,TestData,alvespimycinhydrochloride,tafenoquine,0.75,0.75,0.187842597249038,2.95711395309486,9.91862460528748,0.162117702488961,4.47975358611866,1.9734696058118,0,-28.7848880825521,-13.602872891985,-12.9980438317927,1
alvespimycinhydrochloride_tafenoquine_PLASMODIUM_FALCIPARUM_HB3,TestData,alvespimycinhydrochloride,tafenoquine,0.75,0.75,0.192859463802953,5.0810067437608,32.2996071119679,0.23196895290837,2.93146725181624,0,0,-54.5738858677694,-45.0007018932824,-42.7081018367314,-1
amiodaronehydrochloride_ml238_PLASMODIUM_FALCIPARUM_3D7,TestData,amiodaronehydrochloride,ml238,0.05,10,0.00916553134163141,10,62.0496598165517,4.09501257380156,2.84806293726254,49.0025442683305,0,-12.1183310747164,-11.8516728599431,-11.8516631955433,-1
amiodaronehydrochloride_ml238_PLASMODIUM_FALCIPARUM_DD2,TestData,amiodaronehydrochloride,ml238,0.05,10,0.0167641376104401,2.02699397408111,16.3394121944927,6.67926068421337,9.99999999999923,21.0234671914068,0,-11.325314129831,-8.18211929296421,-8.17925087451554,1
amiodaronehydrochloride_ml238_PLASMODIUM_FALCIPARUM_HB3,TestData,amiodaronehydrochloride,ml238,0.05,10,0.00561082274762297,1.76676289716567,20.5088022601857,8.03737431666666,2.99813953150141,0,0,-2.2648377228499,-1.36416186297442,-1.29548148941023,1
amodiaquine_artemether_PLASMODIUM_FALCIPARUM_3D7,TestData,amodiaquine,artemether,0.05,0.25,0.01226103049642,9.9999999999999,37.6580701523195,0.0663973113202314,1.20297697464471,0,0,-3671.56927258502,-3670.07169542993,-3666.44858987326,-1
amodiaquine_artemether_PLASMODIUM_FALCIPARUM_DD2,TestData,amodiaquine,artemether,0.05,0.25,0.0265508143659779,6.6184090444001,0,0.0242500675671943,10,1.23317750839502,0,-12.3123815472088,-5.19669793148845,-5.19592211250697,-3
amodiaquine_artemether_PLASMODIUM_FALCIPARUM_HB3,TestData,amodiaquine,artemether,0.05,0.25,0.020163724339982,4.52203780840556,5.6985780382484,0.0157936687262871,10,5.93360031051506,0,-28.6162496260965,-15.3857304877445,-14.8770087140315,-1
amodiaquine_artenimol_PLASMODIUM_FALCIPARUM_3D7,TestData,amodiaquine,artenimol,0.0125,0.125,0.000768898831742167,3.00989135363279,1.28989748447204,0.00849317180268798,9.99999999999998,0.0779914013326666,0,-36.6274498166128,-13.9145041799004,-12.1904711021895,1
amodiaquine_artenimol_PLASMODIUM_FALCIPARUM_DD2,TestData,amodiaquine,artenimol,0.025,0.25,0.00263138557877809,4.79130934968476,0.844430241147326,0.196095989297283,10,0,0,-18.72384866508,-3.41293109737633,-3.25660474744152,-3
amodiaquine_artenimol_PLASMODIUM_FALCIPARUM_HB3,TestData,amodiaquine,artenimol,0.025,0.25,0.00282003496178131,2.94243839306933,6.31554838226856,0.115982615221691,4.53535106145476,7.31218163284053,0,-44.2471121244437,-29.9663513241746,-26.7378672706897,-1
amodiaquine_artesunate_PLASMODIUM_FALCIPARUM_3D7,TestData,amodiaquine,artesunate,0.05,0.25,0.00903122133980907,10,50.1118360252118,0.0358873307698937,9.52142808807607,0,0,-6187.37696290768,-6181.66241754198,-6181.08895291212,-1
amodiaquine_artesunate_PLASMODIUM_FALCIPARUM_DD2,TestData,amodiaquine,artesunate,0.05,0.25,0.0137714970429377,6.57720246006599,2.3960469893153,0.187920387393797,10,0,0,-58.0166505854539,-33.9796973306018,-33.7127155723229,-3
amodiaquine_artesunate_PLASMODIUM_FALCIPARUM_HB3,TestData,amodiaquine,artesunate,0.05,0.25,0.00830214022931213,5.13622286548965,7.51619730830661,0.106337160021643,6.64772259374538,0,0,-77.4680330394543,-58.6125120933797,-57.6934692826561,-1
amodiaquine_methyleneblue_PLASMODIUM_FALCIPARUM_3D7,TestData,amodiaquine,methyleneblue,0.075,0.25,0.00978589151780206,3.5478438080977,28.9282613968342,0.103529558487151,3.97220532931281,24.6756700027673,0,-4503.20788170436,-4495.7501976819,-4488.26882603665,-1
amodiaquine_methyleneblue_PLASMODIUM_FALCIPARUM_DD2,TestData,amodiaquine,methyleneblue,0.075,0.25,0.0212735488141842,3.85785477683531,0.729304831998767,0.18359685329077,9.99999999999838,1.23437170811157,0,-32.3005572997373,-12.6129785926865,-12.498401663047,-3
amodiaquine_methyleneblue_PLASMODIUM_FALCIPARUM_HB3,TestData,amodiaquine,methyleneblue,0.075,0.25,0.0156111156965946,5.61881760862745,8.80291689963435,0.110919088818529,10,2.13337052703292,0,-53.063105579305,-35.5133675564116,-35.3973033908433,-1
atovaquone_halofantrine_PLASMODIUM_FALCIPARUM_3D7,TestData,atovaquone,halofantrine,0.025,0.0125,0.000609056313891009,2.48624135573143,0,0.000447788334380586,1.44380668204961,5.01568385514279,0,-6.75639328191191,-4.14969477162728,-1.45582803083225,1
atovaquone_halofantrine_PLASMODIUM_FALCIPARUM_DD2,TestData,atovaquone,halofantrine,0.025,0.0125,0.000772885980672852,3.17128437611375,0,0.00187155838416355,1.4627088848442,0,0,-14.4726175027589,-7.70822001517436,-4.42259180669014,1
atovaquone_halofantrine_PLASMODIUM_FALCIPARUM_HB3,TestData,atovaquone,halofantrine,0.025,0.0125,0.00126118568358596,4.19748353241374,0,0.00109945861371825,1.92834344928183,4.68497408909698,0,-27.0086651407676,-14.8901599770837,-13.048716339813,1
atovaquone_lumefantrine_PLASMODIUM_FALCIPARUM_3D7,TestData,atovaquone,lumefantrine,0.05,0.025,1,0,100,0.00359806787863078,1.22341221593884,0,0,-4931.27894339481,-4931.27894339481,-4931.27894339481,-1
atovaquone_lumefantrine_PLASMODIUM_FALCIPARUM_DD2,TestData,atovaquone,lumefantrine,0.05,0.025,0.00891712550787021,2.6656057963833,0,0.00450601118142031,1.53768175251851,1.08075427665453,0,-17.5812804343018,-9.29559840159701,-6.57179317327745,1
atovaquone_lumefantrine_PLASMODIUM_FALCIPARUM_HB3,TestData,atovaquone,lumefantrine,0.05,0.025,0.0152949502228371,9.99999999999991,21.2132215847629,0.0010686223311194,9.22598563027099,11.5779355319551,0,-33.4487380976386,-31.4901846552614,-31.4101355778527,-1
azelnidipine_artemether_PLASMODIUM_FALCIPARUM_3D7,TestData,azelnidipine,artemether,0.025,5,0.00501431016131401,2.37039669003402,0,0.606265470945821,1.11128501693088,0,0,-38.3074516786397,-32.1322672962432,-25.1026435093199,1
azelnidipine_artemether_PLASMODIUM_FALCIPARUM_DD2,TestData,azelnidipine,artemether,0.025,5,0.00602136232010545,2.52883895624134,0,1.49684813555783,1.01777647855465,0,0,-19.1034553190548,-14.5371967917258,-12.69019243944,1
azelnidipine_artenimol_PLASMODIUM_FALCIPARUM_3D7,TestData,azelnidipine,artenimol,0.0125,5,0.000893035300073031,2.09643856929547,0,0.863333151730651,1.4402128225899,0,0,-18.5578181939891,-11.4039161774167,-6.6627927636403,1
azelnidipine_artenimol_PLASMODIUM_FALCIPARUM_DD2,TestData,azelnidipine,artenimol,0.0125,5,0.00080529374849474,1.92973445345981,0,1.42223669347814,0.662060911403275,0,0,-24.8510540514386,-26.2023725611907,-16.6025415914993,1
azelnidipine_artenimol_PLASMODIUM_FALCIPARUM_HB3,TestData,azelnidipine,artenimol,0.0125,5,0.000978619058198772,3.55723005339625,0,2.79122143597776,2.66326967340115,0,0,-26.0475992086465,-14.2085862694983,-13.6651498281899,1
azelnidipine_artesunate_PLASMODIUM_FALCIPARUM_DD2,TestData,azelnidipine,artesunate,0.025,5,0.00313890982982477,9.9999999999998,1.85183945236865,1.32809407477533,1.20447542765883,0,0,-43.5418976793298,-29.3847828080919,-27.4501623155214,1
azelnidipine_artesunate_PLASMODIUM_FALCIPARUM_HB3,TestData,azelnidipine,artesunate,0.025,5,0.00306628420561665,10,1.8516231405508,1.95577205581912,1.95604383786572,0,0,-26.6831284957901,-15.5809455973603,-15.441124232399,1
azelnidipine_halofantrine_PLASMODIUM_FALCIPARUM_3D7,TestData,azelnidipine,halofantrine,0.025,5,0.000598989368818404,2.48650684817496,0,1.35784234477254,2.80746497259239,5.89924385031317,0,-4.84479779676665,-1.2627428778823,-1.22859355220605,1
azelnidipine_halofantrine_PLASMODIUM_FALCIPARUM_DD2,TestData,azelnidipine,halofantrine,0.025,5,0.000732891152487054,2.2653217521935,0,2.40644683786954,1.445765171137,0,0,-0.89956199155814,-0.263045781731348,-0.218820773762893,1
azelnidipine_halofantrine_PLASMODIUM_FALCIPARUM_HB3,TestData,azelnidipine,halofantrine,0.025,5,0.00129538248210401,6.57025809015479,1.19195999744521,2.02637756960315,5.18450163945046,16.3242854152545,0,-32.3869374484137,-17.6473464125217,-17.5728344838501,-3
azelnidipine_lumefantrine_PLASMODIUM_FALCIPARUM_3D7,TestData,azelnidipine,lumefantrine,0.025,5,0.00404884382828582,1.84678726073327,0,1.29464122996413,1.92188659908795,0,0,-19.1389656479558,-10.6610937190764,-7.75927206092367,1
azelnidipine_lumefantrine_PLASMODIUM_FALCIPARUM_DD2,TestData,azelnidipine,lumefantrine,0.025,5,0.00486768251546652,2.42972904654982,0,2.55123730501974,2.31112912047018,0,0,-6.38985051753062,-3.54971706198367,-3.39210830175925,1
azelnidipine_lumefantrine_PLASMODIUM_FALCIPARUM_HB3,TestData,azelnidipine,lumefantrine,0.025,5,0.00970415756406153,2.83776017114498,0,3.10361379539021,2.69451469518281,0,0,-23.8279917968225,-15.8153145865909,-15.5135520607805,1
azithromycin_chloroquine_PLASMODIUM_FALCIPARUM_3D7,TestData,azithromycin,chloroquine,0.375,5,0.0280036347797922,8.80688732818544,0.433039818890368,0.399981079408531,2.18710023951418,46.7300423976629,0,-19.3190063181159,-11.3713949811884,-11.0969323258864,1
azithromycin_chloroquine_PLASMODIUM_FALCIPARUM_DD2,TestData,azithromycin,chloroquine,0.5,10,0.499664740092938,9.99999999999997,0,0.757127027451091,3.68351717961408,51.1581891170225,0,-41.2129137586569,-34.7118311681461,-34.7034131187628,1
azithromycin_chloroquine_PLASMODIUM_FALCIPARUM_HB3,TestData,azithromycin,chloroquine,0.5,10,0.0246867884485644,2.5489086586089,5.25982007256005,0.65555705442909,9.99999999999994,57.516116038026,0,-33.2300612402258,-32.2196742366214,-23.6338890000232,-1
azithromycin_halofantrine_PLASMODIUM_FALCIPARUM_3D7,TestData,azithromycin,halofantrine,0.025,5,0.000473661964457972,3.5455639191068,0.309202918220786,0.269185621140965,4.32162242989402,54.568588678242,0,-17.0951214882512,-12.80588110489,-9.753403305897,1
azithromycin_halofantrine_PLASMODIUM_FALCIPARUM_DD2,TestData,azithromycin,halofantrine,0.025,5,0.000601517681483253,1.97671693674659,0,0.315106852072361,3.60620100216137,44.9413250569909,0,-27.7680980237485,-25.3601595642003,-17.8908680930427,1
azithromycin_halofantrine_PLASMODIUM_FALCIPARUM_HB3,TestData,azithromycin,halofantrine,0.025,5,0.00106948675455481,6.19609596165321,1.04227681702004,0.397893639150648,1.95211743837232,55.6042328163848,0,-30.7854067871491,-22.5668695557196,-20.4806421134638,1
azithromycin_lumefantrine_PLASMODIUM_FALCIPARUM_3D7,TestData,azithromycin,lumefantrine,0.025,5,0.00614829656424241,3.48186506883449,1.51098561364225,0.270469371954384,3.00547537202522,49.1399343306588,0,-11.8457357827291,-9.79158514412635,-9.62526095115523,1
azithromycin_lumefantrine_PLASMODIUM_FALCIPARUM_DD2,TestData,azithromycin,lumefantrine,0.025,5,0.00541592199930039,1.70797846544318,0,0.293073578349714,1.03071864498337,26.7910204760025,0,-16.6441564485522,-17.7433621469422,-10.792089957363,1
azithromycin_lumefantrine_PLASMODIUM_FALCIPARUM_HB3,TestData,azithromycin,lumefantrine,0.025,5,0.00571794329324004,2.35263416175591,0,0.327959084350094,1.24863090556641,51.4368369609758,0,-23.886067118473,-22.7975572641325,-19.0651940242956,1
benzamil_piperaquine_PLASMODIUM_FALCIPARUM_3D7,TestData,benzamil,piperaquine,0.375,2.5,0.0116284949446629,3.25699689944301,0,0.785206176709391,10,0,0,-11.4751937037288,-3.51002740479171,-3.50208431253337,1
bix01294_amodiaquine_PLASMODIUM_FALCIPARUM_3D7,TestData,bix01294,amodiaquine,0.125,0.25,0.00935410096910683,9.99999999999958,0.376261376143877,0.0175254488947679,10,0.449085754828743,0,-5.28537511314053,-3.92499128258314,-3.9234466605946,1
bix01294_amodiaquine_PLASMODIUM_FALCIPARUM_DD2,TestData,bix01294,amodiaquine,0.25,0.5,0.158566249245945,9.99999999999986,4.14435657334524,0.0812151172601527,7.26660047524807,2.03697447468304,0,-12.9904254141051,-5.18670742091984,-5.14842353963575,1
bix01294_amodiaquine_PLASMODIUM_FALCIPARUM_HB3,TestData,bix01294,amodiaquine,0.25,0.5,0.0991700586847293,9.99999999999999,7.91085047724134,0.016964503451068,4.34518214747897,14.1290074524975,0,-42.9532846483227,-35.8487712711904,-35.7662635015721,-1
bix01294_artemether_PLASMODIUM_FALCIPARUM_3D7,TestData,bix01294,artemether,0.05,0.5,0.0100675902038431,10,28.2135154435607,0.0216352650036726,10,31.0683207089016,0,-98.954731909819,-90.6412755387973,-83.4416204114994,-1
bix01294_artemether_PLASMODIUM_FALCIPARUM_DD2,TestData,bix01294,artemether,0.05,0.5,0.0154167311919733,10,0,0.0770505658921457,7.09707844296412,2.20736533209047,0,-20.9080790007205,-4.37799005917081,-4.37670320383869,1
bix01294_artemether_PLASMODIUM_FALCIPARUM_HB3,TestData,bix01294,artemether,0.05,0.5,0.0143392379584137,9.99999999999998,9.81404607070885,0.052709721104396,9.99999999999999,8.55044272017643,0,-30.6735129923731,-24.8488902618723,-24.7467733192012,-1
bix01294_artenimol_PLASMODIUM_FALCIPARUM_3D7,TestData,bix01294,artenimol,0.0125,0.25,0.000551928537229741,2.61672014118363,1.10225755574459,0.0140537276327946,4.36027765732921,0,0,-12.5267881622352,-2.14118014113432,-1.88819374174447,-1
bix01294_artenimol_PLASMODIUM_FALCIPARUM_DD2,TestData,bix01294,artenimol,0.025,0.5,0.00224548036655082,4.00593921482665,1.24149173284634,0.0753258360643255,7.34444761649174,2.03404200277684,0,-28.5088226216053,-6.55034885507622,-6.33926909090951,1
bix01294_artenimol_PLASMODIUM_FALCIPARUM_HB3,TestData,bix01294,artenimol,0.025,0.5,0.00341209760094303,4.00227006723105,17.0285525302599,0.0286965623947404,5.91085419453709,5.59755990263368,0,-11.9637970529388,-9.20516934406067,-9.07158579470299,-1
bix01294_artesunate_PLASMODIUM_FALCIPARUM_DD2,TestData,bix01294,artesunate,0.05,0.5,0.0137955133039108,6.20539413187237,0.933458825846761,0.0778350906895217,7.04487990064296,1.81011452866683,0,-26.855818529171,-5.21621557468348,-5.11697450321055,1
bix01294_artesunate_PLASMODIUM_FALCIPARUM_HB3,TestData,bix01294,artesunate,0.05,0.5,0.0104502336533899,9.99999999999981,8.1547999010146,0.0309958763682307,9.99999999999704,12.5932452358418,0,-37.7719636417637,-22.5707486885249,-22.0121285227937,-1
bix01294_chloroquine_PLASMODIUM_FALCIPARUM_3D7,TestData,bix01294,chloroquine,0.5,0.5,0.0136875791700127,9.99999999999999,37.7353412917292,0.0189454635022459,10,37.0264698043096,0,-11848.7573751837,-11878.0981925959,-11844.2613228829,-1
bix01294_chloroquine_PLASMODIUM_FALCIPARUM_DD2,TestData,bix01294,chloroquine,0.5,0.5,0.314030901677572,6.66529570391345,0,0.0892577940836222,9.29562156891268,2.19335341620526,0,-22.6647089973799,-12.0231351516066,-11.9758179666379,1
bix01294_chloroquine_PLASMODIUM_FALCIPARUM_HB3,TestData,bix01294,chloroquine,0.5,0.5,0.0228762537884575,7.30565559419062,0.632931147572857,0.0467416811952842,7.12226623398647,1.36849556182901,0,-18.1113872918911,-4.15679826058967,-4.06742172142615,1
bix01294_halofantrine_PLASMODIUM_FALCIPARUM_DD2,TestData,bix01294,halofantrine,0.025,0.25,0.000599239998020355,2.59959875547292,1.15633153473581,0.0165600754659663,4.900298468764,0.111135220940223,0,-12.1108158061316,-2.90326921721346,-2.3356351218784,1
bix01294_kn62_PLASMODIUM_FALCIPARUM_3D7,TestData,bix01294,kn62,2.5,0.25,0.478107996661626,2.77765258234782,0.661065017309637,0.0154702352862214,4.35635248961936,0,0,-10.0378379211242,-3.62923191666627,-3.5430664643793,1
bix01294_kn62_PLASMODIUM_FALCIPARUM_DD2,TestData,bix01294,kn62,5,0.5,1.45017738912748,1.8182693178096,0,0.0774316807705019,7.77716692632053,1.64558059708473,0,-17.8463402554859,-4.24906523556816,-4.06688451100661,1
bix01294_kn62_PLASMODIUM_FALCIPARUM_HB3,TestData,bix01294,kn62,5,0.5,1.00961233282621,5.58138719097403,13.3816701969927,0.0341477948444663,9.99999999999983,24.7642186892257,0,-35.3587459406754,-33.0052083371379,-31.4204597072594,-1
bix01294_lumefantrine_PLASMODIUM_FALCIPARUM_3D7,TestData,bix01294,lumefantrine,0.025,0.25,0.00266706899851446,2.62997594754095,0,0.0108238691025708,4.83625764061765,0,0,-11.7182513107464,-2.79123701916957,-2.71447952740326,1
bix01294_lumefantrine_PLASMODIUM_FALCIPARUM_DD2,TestData,bix01294,lumefantrine,0.05,0.5,0.0103282673868863,2.55987618045421,0,0.0791632884693446,7.00312516613101,1.46583373629698,0,-17.2720408799092,-2.61179257530646,-2.41934494771169,1
bix01294_lumefantrine_PLASMODIUM_FALCIPARUM_HB3,TestData,bix01294,lumefantrine,0.05,0.5,0.00970687911698613,1.10098175201142,0,0.0297165817455891,10,11.3612737942706,0,-65.25808699711,-53.9980256647412,-51.0479193269544,-1
bix01294_mefloquine_PLASMODIUM_FALCIPARUM_3D7,TestData,bix01294,mefloquine,0.125,0.25,0.0090020320826493,1.75681742631945,0,0.0137472544247281,5.9161572696208,0,0,-8.90866174363312,-1.14492203408325,-1.01793055878958,1
bix01294_mefloquine_PLASMODIUM_FALCIPARUM_DD2,TestData,bix01294,mefloquine,0.25,0.5,0.0319948500897724,2.57639774341536,0,0.0765367133663267,7.68163901638203,1.81596288473747,0,-11.3259296751387,-3.14838741141405,-3.02806929365133,1
bix01294_mefloquine_PLASMODIUM_FALCIPARUM_HB3,TestData,bix01294,mefloquine,0.25,0.5,0.0161544652159222,3.25769395591472,15.608529758792,0.0240188601274346,6.88203894215953,3.34808941209523,0,-28.2851153928874,-19.6426778357494,-19.4216413747032,-1
bix01294_methyleneblue_PLASMODIUM_FALCIPARUM_3D7,TestData,bix01294,methyleneblue,0.075,0.5,0.0102152385141478,9.99999999999907,45.2676694818637,1,0,100,0,-3265.67842853216,-3265.67842853216,-3265.67842853216,-1
bix01294_methyleneblue_PLASMODIUM_FALCIPARUM_DD2,TestData,bix01294,methyleneblue,0.075,0.5,0.0203146502021028,4.28732101489124,0.967770574905152,0.0816146179247505,7.55374126398282,1.24242317142938,0,-14.788731945645,-3.37290560758729,-3.35218845932467,1
bix01294_methyleneblue_PLASMODIUM_FALCIPARUM_HB3,TestData,bix01294,methyleneblue,0.075,0.5,0.0146439457611192,9.99999999999999,16.5814904429706,0.0288843572616664,4.02899320889039,7.79381425588597,0,-29.5027754957351,-22.4426581701341,-21.5849717248584,-1
bix01294_nanchangmycin_PLASMODIUM_FALCIPARUM_3D7,TestData,bix01294,nanchangmycin,0.005,0.25,0.00034901751553411,2.41218338785038,0,0.0153173463005874,3.99740810352398,0,0,-22.0560178861577,-8.56390661783725,-6.06656294116412,1
