Folder,TITLE,COMPOUND_A,COMPOUND_B,MAX_CONC_A,MAX_CONC_B,IC50_A,H_A,Einf_A,IC50_B,H_B,Einf_B,SUM_SYN_ANT_WEIGHTED_SAN,SUM_SYN_ANT_WEIGHTED_LOEWE,SUM_SYN_ANT_WEIGHTED_BLISS,SUM_SYN_ANT_WEIGHTED_HSA,QA
amodiaquine_artemether_PLASMODIUM_FALCIPARUM_3D7,TestData,amodiaquine,artemether,0.05,0.25,0.01226103049642,9.9999999999999,37.6580701523195,0.0663973113202314,1.20297697464471,0,0,-3637.48636386477,-3633.89045115806,-3626.58823315695,-1
amodiaquine_artemether_PLASMODIUM_FALCIPARUM_DD2,TestData,amodiaquine,artemether,0.05,0.25,0.0265508143659779,6.6184090444001,0,0.0242500675671943,10,1.23317750839502,0,-8.12488984111465,5.73912805702346,6.31289191425226,-3
amodiaquine_artemether_PLASMODIUM_FALCIPARUM_HB3,TestData,amodiaquine,artemether,0.05,0.25,0.020163724339982,4.52203780840556,5.6985780382484,0.0157936687262871,10,5.93360031051506,0,-23.0370732741433,-8.49089851106936,-6.11824763703519,-1
amodiaquine_artenimol_PLASMODIUM_FALCIPARUM_3D7,TestData,amodiaquine,artenimol,0.0125,0.125,0.000768898831742167,3.00989135363279,1.28989748447204,0.00849317180268798,9.99999999999998,0.0779914013326666,0,-35.6260139194424,-12.7825869313725,-10.9578647044971,1
amodiaquine_artenimol_PLASMODIUM_FALCIPARUM_DD2,TestData,amodiaquine,artenimol,0.025,0.25,0.00263138557877809,4.79130934968476,0.844430241147326,0.196095989297283,10,0,0,-16.9828333423002,-0.183536624703349,0.0970414080379087,-3
amodiaquine_artenimol_PLASMODIUM_FALCIPARUM_HB3,TestData,amodiaquine,artenimol,0.025,0.25,0.00282003496178131,2.94243839306933,6.31554838226856,0.115982615221691,4.53535106145476,7.31218163284053,0,-40.6360849496412,-25.4529079966977,-21.875926663349,-1
amodiaquine_artesunate_PLASMODIUM_FALCIPARUM_3D7,TestData,amodiaquine,artesunate,0.05,0.25,0.00903122133980907,10,50.1118360252118,0.0358873307698937,9.52142808807607,0,0,-6116.92208354795,-6109.5160738478,-6107.73450769927,-1
amodiaquine_artesunate_PLASMODIUM_FALCIPARUM_DD2,TestData,amodiaquine,artesunate,0.05,0.25,0.0137714970429377,6.57720246006599,2.3960469893153,0.187920387393797,10,0,0,-57.8765546856475,-33.825127144055,-33.5280497756141,-3
amodiaquine_artesunate_PLASMODIUM_FALCIPARUM_HB3,TestData,amodiaquine,artesunate,0.05,0.25,0.00830214022931213,5.13622286548965,7.51619730830661,0.106337160021643,6.64772259374538,0,0,-74.9955459428681,-54.8126769758366,-53.1876034842139,-1
amodiaquine_methyleneblue_PLASMODIUM_FALCIPARUM_3D7,TestData,amodiaquine,methyleneblue,0.075,0.25,0.00978589151780206,3.5478438080977,28.9282613968342,0.103529558487151,3.97220532931281,24.6756700027673,0,-4487.91055921081,-4479.52064292362,-4471.97842141937,-1
amodiaquine_methyleneblue_PLASMODIUM_FALCIPARUM_DD2,TestData,amodiaquine,methyleneblue,0.075,0.25,0.0212735488141842,3.85785477683531,0.729304831998767,0.18359685329077,9.99999999999838,1.23437170811157,0,-31.0778342444391,-10.269286801468,-9.98383283987724,-3
amodiaquine_methyleneblue_PLASMODIUM_FALCIPARUM_HB3,TestData,amodiaquine,methyleneblue,0.075,0.25,0.0156111156965946,5.61881760862745,8.80291689963435,0.110919088818529,10,2.13337052703292,0,-51.067039839045,-33.6531146906413,-32.2183149080587,-1
atovaquone_halofantrine_PLASMODIUM_FALCIPARUM_3D7,TestData,atovaquone,halofantrine,0.025,0.0125,0.000609056313891009,2.48624135573143,0,0.000447788334380586,1.44380668204961,5.01568385514279,0,-3.03613155790103,-1.33108082966908,8.58232053582933,1
atovaquone_halofantrine_PLASMODIUM_FALCIPARUM_DD2,TestData,atovaquone,halofantrine,0.025,0.0125,0.000772885980672852,3.17128437611375,0,0.00187155838416355,1.4627088848442,0,0,-11.885235208196,-4.1194890528361,0.743905017913985,1
atovaquone_halofantrine_PLASMODIUM_FALCIPARUM_HB3,TestData,atovaquone,halofantrine,0.025,0.0125,0.00126118568358596,4.19748353241374,0,0.00109945861371825,1.92834344928183,4.68497408909698,0,-26.171303715106,-13.8094167595365,-9.6942805881439,1
atovaquone_lumefantrine_PLASMODIUM_FALCIPARUM_3D7,TestData,atovaquone,lumefantrine,0.05,0.025,1,0,100,0.00359806787863078,1.22341221593884,0,0,-4906.21305127701,-4906.21305127701,-4906.21305127701,-1
atovaquone_lumefantrine_PLASMODIUM_FALCIPARUM_DD2,TestData,atovaquone,lumefantrine,0.05,0.025,0.00891712550787021,2.6656057963833,0,0.00450601118142031,1.53768175251851,1.08075427665453,0,-17.1049443642662,-8.03463226398904,-2.2352037805498,1
atovaquone_lumefantrine_PLASMODIUM_FALCIPARUM_HB3,TestData,atovaquone,lumefantrine,0.05,0.025,0.0152949502228371,9.99999999999991,21.2132215847629,0.0010686223311194,9.22598563027099,11.5779355319551,0,-7.73333347548254,-0.72156949047147,4.8969794500751,-1
azelnidipine_artemether_PLASMODIUM_FALCIPARUM_3D7,TestData,azelnidipine,artemether,0.025,5,0.00501431016131401,2.37039669003402,0,0.606265470945821,1.11128501693088,0,0,-33.3280714978731,-28.4759410228473,-16.3923144545721,1
azelnidipine_artemether_PLASMODIUM_FALCIPARUM_DD2,TestData,azelnidipine,artemether,0.025,5,0.00602136232010545,2.52883895624134,0,1.49684813555783,1.01777647855465,0,0,-4.22966809251017,-0.308746183481167,9.36405826031798,1
azelnidipine_artenimol_PLASMODIUM_FALCIPARUM_3D7,TestData,azelnidipine,artenimol,0.0125,5,0.000893035300073031,2.09643856929547,0,0.863333151730651,1.4402128225899,0,0,-11.3831400150257,-5.06410049993614,7.19732415899159,1
azelnidipine_artenimol_PLASMODIUM_FALCIPARUM_DD2,TestData,azelnidipine,artenimol,0.0125,5,0.00080529374849474,1.92973445345981,0,1.42223669347814,0.662060911403275,0,0,-11.032935916505,-17.0272112880351,1.52067992576555,1
azelnidipine_artenimol_PLASMODIUM_FALCIPARUM_HB3,TestData,azelnidipine,artenimol,0.0125,5,0.000978619058198772,3.55723005339625,0,2.79122143597776,2.66326967340115,0,0,-23.8546164207789,-10.6635860958129,-8.19036624572966,1
azelnidipine_artesunate_PLASMODIUM_FALCIPARUM_DD2,TestData,azelnidipine,artesunate,0.025,5,0.00313890982982477,9.9999999999998,1.85183945236865,1.32809407477533,1.20447542765883,0,0,-41.3555147306279,-26.0717055637834,-21.5368794208675,1
azelnidipine_artesunate_PLASMODIUM_FALCIPARUM_HB3,TestData,azelnidipine,artesunate,0.025,5,0.00306628420561665,10,1.8516231405508,1.95577205581912,1.95604383786572,0,0,-23.9641737655978,-9.28224653804038,-6.75641412457794,1
azelnidipine_halofantrine_PLASMODIUM_FALCIPARUM_3D7,TestData,azelnidipine,halofantrine,0.025,5,0.000598989368818404,2.48650684817496,0,1.35784234477254,2.80746497259239,5.89924385031317,0,-0.0325563941794345,6.76145206189078,12.3206264823199,1
azelnidipine_halofantrine_PLASMODIUM_FALCIPARUM_DD2,TestData,azelnidipine,halofantrine,0.025,5,0.000732891152487054,2.2653217521935,0,2.40644683786954,1.445765171137,0,0,10.1615422639334,13.5560808301958,20.9535374719762,1
azelnidipine_halofantrine_PLASMODIUM_FALCIPARUM_HB3,TestData,azelnidipine,halofantrine,0.025,5,0.00129538248210401,6.57025809015479,1.19195999744521,2.02637756960315,5.18450163945046,16.3242854152545,0,-28.2433619026697,-14.0224431285924,-12.1746427620723,-3
azelnidipine_lumefantrine_PLASMODIUM_FALCIPARUM_3D7,TestData,azelnidipine,lumefantrine,0.025,5,0.00404884382828582,1.84678726073327,0,1.29464122996413,1.92188659908795,0,0,-13.5317654293267,-4.93207792508688,4.05287002612823,1
azelnidipine_lumefantrine_PLASMODIUM_FALCIPARUM_DD2,TestData,azelnidipine,lumefantrine,0.025,5,0.00486768251546652,2.42972904654982,0,2.55123730501974,2.31112912047018,0,0,3.63034566012671,12.2183995561345,17.0653868852709,1
azelnidipine_lumefantrine_PLASMODIUM_FALCIPARUM_HB3,TestData,azelnidipine,lumefantrine,0.025,5,0.00970415756406153,2.83776017114498,0,3.10361379539021,2.69451469518281,0,0,-21.5754248014868,-10.3338141154198,-7.44637282976702,1
azithromycin_chloroquine_PLASMODIUM_FALCIPARUM_3D7,TestData,azithromycin,chloroquine,0.375,5,0.0280036347797922,8.80688732818544,0.433039818890368,0.399981079408531,2.18710023951418,46.7300423976629,0,-17.5978461811799,-9.12426036632171,-7.01319892883169,1
azithromycin_chloroquine_PLASMODIUM_FALCIPARUM_DD2,TestData,azithromycin,chloroquine,0.5,10,0.499664740092938,9.99999999999997,0,0.757127027451091,3.68351717961408,51.1581891170225,0,-36.8928805564763,-31.7227902534814,-30.2386046553747,1
azithromycin_chloroquine_PLASMODIUM_FALCIPARUM_HB3,TestData,azithromycin,chloroquine,0.5,10,0.0246867884485644,2.5489086586089,5.25982007256005,0.65555705442909,9.99999999999994,57.516116038026,0,-29.8848156787079,-29.9359358882775,-20.1000703763962,-1
azithromycin_halofantrine_PLASMODIUM_FALCIPARUM_3D7,TestData,azithromycin,halofantrine,0.025,5,0.000473661964457972,3.5455639191068,0.309202918220786,0.269185621140965,4.32162242989402,54.568588678242,0,-13.7156803775664,-11.6198480793688,-5.97058520543819,1
azithromycin_halofantrine_PLASMODIUM_FALCIPARUM_DD2,TestData,azithromycin,halofantrine,0.025,5,0.000601517681483253,1.97671693674659,0,0.315106852072361,3.60620100216137,44.9413250569909,0,-21.2656805908302,-22.8563622254309,-11.2587063643456,1
azithromycin_halofantrine_PLASMODIUM_FALCIPARUM_HB3,TestData,azithromycin,halofantrine,0.025,5,0.00106948675455481,6.19609596165321,1.04227681702004,0.397893639150648,1.95211743837232,55.6042328163848,0,-26.4497803069395,-19.3690007129469,-15.583374806077,1
azithromycin_lumefantrine_PLASMODIUM_FALCIPARUM_3D7,TestData,azithromycin,lumefantrine,0.025,5,0.00614829656424241,3.48186506883449,1.51098561364225,0.270469371954384,3.00547537202522,49.1399343306588,0,3.05523799552516,-1.48978469473763,7.38691984680855,1
azithromycin_lumefantrine_PLASMODIUM_FALCIPARUM_DD2,TestData,azithromycin,lumefantrine,0.025,5,0.00541592199930039,1.70797846544318,0,0.293073578349714,1.03071864498337,26.7910204760025,0,-7.56650909797576,-14.8213637685016,2.64689420039313,1
azithromycin_lumefantrine_PLASMODIUM_FALCIPARUM_HB3,TestData,azithromycin,lumefantrine,0.025,5,0.00571794329324004,2.35263416175591,0,0.327959084350094,1.24863090556641,51.4368369609758,0,-15.0943160169295,-18.5235537976269,-8.29024027961922,1
benzamil_piperaquine_PLASMODIUM_FALCIPARUM_3D7,TestData,benzamil,piperaquine,0.375,2.5,0.0116284949446629,3.25699689944301,0,0.785206176709391,10,0,0,-6.5104147623993,9.47705865588065,10.215121413875,1
bix01294_amodiaquine_PLASMODIUM_FALCIPARUM_3D7,TestData,bix01294,amodiaquine,0.125,0.25,0.00935410096910683,9.99999999999958,0.376261376143877,0.0175254488947679,10,0.449085754828743,0,-0.31775970841365,19.3735448664319,20.4823172094808,1
bix01294_amodiaquine_PLASMODIUM_FALCIPARUM_DD2,TestData,bix01294,amodiaquine,0.25,0.5,0.158566249245945,9.99999999999986,4.14435657334524,0.0812151172601527,7.26660047524807,2.03697447468304,0,-11.5178083316519,3.96444779141149,4.41490669621875,1
bix01294_amodiaquine_PLASMODIUM_FALCIPARUM_HB3,TestData,bix01294,amodiaquine,0.25,0.5,0.0991700586847293,9.99999999999999,7.91085047724134,0.016964503451068,4.34518214747897,14.1290074524975,0,-20.7274826927974,-15.001579976479,-9.59035977331458,-1
bix01294_artemether_PLASMODIUM_FALCIPARUM_3D7,TestData,bix01294,artemether,0.05,0.5,0.0100675902038431,10,28.2135154435607,0.0216352650036726,10,31.0683207089016,0,-85.7721014554939,-79.934191900232,-70.1494674558024,-1
bix01294_artemether_PLASMODIUM_FALCIPARUM_DD2,TestData,bix01294,artemether,0.05,0.5,0.0154167311919733,10,0,0.0770505658921457,7.09707844296412,2.20736533209047,0,-20.2229986941083,0.0767943476214823,0.648579324613443,1
bix01294_artemether_PLASMODIUM_FALCIPARUM_HB3,TestData,bix01294,artemether,0.05,0.5,0.0143392379584137,9.99999999999998,9.81404607070885,0.052709721104396,9.99999999999999,8.55044272017643,0,-11.7887699619309,-0.92937883361169,1.62281132703143,-1
bix01294_artenimol_PLASMODIUM_FALCIPARUM_3D7,TestData,bix01294,artenimol,0.0125,0.25,0.000551928537229741,2.61672014118363,1.10225755574459,0.0140537276327946,4.36027765732921,0,0,-10.0912686881874,2.11381659523546,5.78973575625346,-1
bix01294_artenimol_PLASMODIUM_FALCIPARUM_DD2,TestData,bix01294,artenimol,0.025,0.5,0.00224548036655082,4.00593921482665,1.24149173284634,0.0753258360643255,7.34444761649174,2.03404200277684,0,-26.5275880070491,-5.00179155071533,-3.39557217220286,1
bix01294_artenimol_PLASMODIUM_FALCIPARUM_HB3,TestData,bix01294,artenimol,0.025,0.5,0.00341209760094303,4.00227006723105,17.0285525302599,0.0286965623947404,5.91085419453709,5.59755990263368,0,12.315355497431,17.9325709004556,24.1721606827755,-1
bix01294_artesunate_PLASMODIUM_FALCIPARUM_DD2,TestData,bix01294,artesunate,0.05,0.5,0.0137955133039108,6.20539413187237,0.933458825846761,0.0778350906895217,7.04487990064296,1.81011452866683,0,-26.6054135064391,-3.95795900950423,-3.40709125460263,1
bix01294_artesunate_PLASMODIUM_FALCIPARUM_HB3,TestData,bix01294,artesunate,0.05,0.5,0.0104502336533899,9.99999999999981,8.1547999010146,0.0309958763682307,9.99999999999704,12.5932452358418,0,-30.2049582447299,-16.3718861885365,-13.0095540592869,-1
bix01294_chloroquine_PLASMODIUM_FALCIPARUM_3D7,TestData,bix01294,chloroquine,0.5,0.5,0.0136875791700127,9.99999999999999,37.7353412917292,0.0189454635022459,10,37.0264698043096,0,-11803.0866227572,-11833.1120747896,-11793.6423782906,-1
bix01294_chloroquine_PLASMODIUM_FALCIPARUM_DD2,TestData,bix01294,chloroquine,0.5,0.5,0.314030901677572,6.66529570391345,0,0.0892577940836222,9.29562156891268,2.19335341620526,0,-22.3659033361162,-7.81197094934983,-7.46669011613121,1
bix01294_chloroquine_PLASMODIUM_FALCIPARUM_HB3,TestData,bix01294,chloroquine,0.5,0.5,0.0228762537884575,7.30565559419062,0.632931147572857,0.0467416811952842,7.12226623398647,1.36849556182901,0,-17.1424476128221,-1.56723900054321,-0.490457949667228,1
bix01294_halofantrine_PLASMODIUM_FALCIPARUM_DD2,TestData,bix01294,halofantrine,0.025,0.25,0.000599239998020355,2.59959875547292,1.15633153473581,0.0165600754659663,4.900298468764,0.111135220940223,0,-10.1585903671257,0.366858119088264,3.04064530281254,1
bix01294_kn62_PLASMODIUM_FALCIPARUM_3D7,TestData,bix01294,kn62,2.5,0.25,0.478107996661626,2.77765258234782,0.661065017309637,0.0154702352862214,4.35635248961936,0,0,-5.91806655662146,5.58788204387474,8.69112692156127,1
bix01294_kn62_PLASMODIUM_FALCIPARUM_DD2,TestData,bix01294,kn62,5,0.5,1.45017738912748,1.8182693178096,0,0.0774316807705019,7.77716692632053,1.64558059708473,0,-16.6444673662934,-0.956612781591204,0.260522474502187,1
bix01294_kn62_PLASMODIUM_FALCIPARUM_HB3,TestData,bix01294,kn62,5,0.5,1.00961233282621,5.58138719097403,13.3816701969927,0.0341477948444663,9.99999999999983,24.7642186892257,0,-20.3658178305018,-15.7998725586294,-10.9489724199475,-1
bix01294_lumefantrine_PLASMODIUM_FALCIPARUM_3D7,TestData,bix01294,lumefantrine,0.025,0.25,0.00266706899851446,2.62997594754095,0,0.0108238691025708,4.83625764061765,0,0,-9.98783712132449,2.98993492657555,5.41855758650088,1
bix01294_lumefantrine_PLASMODIUM_FALCIPARUM_DD2,TestData,bix01294,lumefantrine,0.05,0.5,0.0103282673868863,2.55987618045421,0,0.0791632884693446,7.00312516613101,1.46583373629698,0,-16.7762568098327,-0.115577148654057,1.04510467369403,1
bix01294_lumefantrine_PLASMODIUM_FALCIPARUM_HB3,TestData,bix01294,lumefantrine,0.05,0.5,0.00970687911698613,1.10098175201142,0,0.0297165817455891,10,11.3612737942706,0,-58.0405569103612,-47.8623383381071,-39.8941369836385,-1
bix01294_mefloquine_PLASMODIUM_FALCIPARUM_3D7,TestData,bix01294,mefloquine,0.125,0.25,0.0090020320826493,1.75681742631945,0,0.0137472544247281,5.9161572696208,0,0,-7.27264532277805,5.037798861346,8.64012180530921,1
bix01294_mefloquine_PLASMODIUM_FALCIPARUM_DD2,TestData,bix01294,mefloquine,0.25,0.5,0.0319948500897724,2.57639774341536,0,0.0765367133663267,7.68163901638203,1.81596288473747,0,-9.40874983393816,4.79352209532806,6.4435463187438,1
