drug0_conc,drug0_name,drug1_conc,drug1_name,drug2_conc,drug2_name,drug3_conc,drug3_name,drug4_conc,drug4_name,drug5_conc,drug5_name,drug6_conc,drug6_name,drug7_conc,drug7_name,drug8_conc,drug8_name,drug9_conc,drug9_name,sample,variable,value
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0061326,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,1.0139086711800311
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0069324,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.8351428153455402
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0079987,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.761809596391255
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0091983,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.6441247421305716
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.010531,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.49515137040945
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.011997,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.37137164914381654
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.01373,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.3013904293385214
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.015728,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.21702503391421848
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.017994,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.14091014841446942
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,3.5991,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.933110369439166
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,4.2388,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.9139348212540258
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,4.9584,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.877982666824984
