BlockId,Replicate,mqcClass,mqcConfidence,MedianExcess,NumExcess,ExcessHSA,ExcessCRX,LS3x3,Beta,Gamma,DBSumPos,DBSumNeg
280,1,good,0.911169,57.94563,65.0,-264.38464,246292.80817,-17.21156,0.951,0.93499,0.35905,-1.88968
281,1,good,0.929291,61.30885,54.0,-306.0954,204930.84093,-20.28428,0.92983,0.90422,0.34829,-2.16425
282,1,good,0.933244,43.27872,37.0,-112.52722,292651.12515,-14.47567,1.03472,0.97451,2.26711,-0.85954
283,1,good,0.933244,57.17395,64.0,-250.59838,281327.27018,-17.57701,0.98667,0.95493,0.8098,-2.08616
284,1,good,0.933244,64.9546,50.0,-168.36086,235721.67861,-17.681,1.0051,0.96577,1.82402,-1.39651
285,1,good,0.902685,84.96171,52.0,-565.26176,387932.44822,-37.86033,0.9626,0.92168,1.38482,-5.64402
286,1,good,0.714541,64.19132,42.0,-275.72288,330033.88458,-24.73674,1.08198,0.97124,1.64973,-1.85921
287,1,good,0.921676,69.17603,41.0,-430.37574,276505.39149,-30.8071,0.96665,0.89873,0.80565,-3.22109
288,1,good,0.650575,35.77754,41.0,1.74794,171153.29952,-6.54365,1.23579,1.05068,2.22519,-0.25655
289,1,good,0.933244,76.55674,58.0,-267.77631,370575.97915,-14.42527,0.96953,0.95884,0.38948,-2.37979
290,1,good,0.899046,82.99361,49.0,-282.73536,288574.01731,-19.46649,0.94854,0.93726,0.44209,-2.60096
291,1,good,0.91525,72.37604,69.0,-384.66312,282010.6615,-30.38243,0.9363,0.90581,0.33821,-2.94174
292,1,good,0.919891,26.66111,38.0,-158.5832,202115.53613,-14.55575,0.95781,0.94385,0.534,-1.37563
293,1,good,0.775274,81.79373,42.0,-261.2147,211773.11793,-20.54841,0.92981,0.90525,0.45256,-2.11966
294,1,good,0.915429,51.84641,27.0,-108.39369,263821.89704,-15.47051,0.9871,0.95928,1.23979,-1.29777
295,1,good,0.933244,69.41362,54.0,-332.26529,376377.01576,-23.06079,0.97617,0.94795,0.58293,-2.80916
296,1,good,0.890244,33.71607,37.0,12.37509,352305.00721,-10.14091,1.04724,1.01484,2.02598,-0.68966
297,1,good,0.921676,49.64016,45.0,-284.31709,329111.6043,-20.35113,0.9583,0.94194,0.45527,-2.33475
298,1,good,0.643726,58.12314,36.0,34.40029,290149.40156,-11.98261,1.27363,1.04995,4.63435,-0.25049
299,1,good,0.933244,70.92137,53.0,-336.98164,360792.98751,-21.36628,1.01924,0.95093,1.59394,-2.44584
300,1,good,0.846839,74.59963,41.0,-331.96806,383403.22632,-28.43301,1.00703,0.93872,1.95423,-3.25813
